release	species	gene_id_stem	symbol	motif_id	motif_name	role	partners	motif_tax_ids	is_cross_species	total_information_content	rank
2024	Homo sapiens	ENSG00000001167	NFYA	MA0060.4	NFYA	monomer		9606	no	11.5542	1
2024	Homo sapiens	ENSG00000004848	ARX	MA0874.2	Arx	monomer		10090	yes	12.8300	1
2024	Homo sapiens	ENSG00000005073	HOXA11	MA0911.2	Hoxa11	monomer		10090	yes	11.0980	1
2024	Homo sapiens	ENSG00000005102	MEOX1	MA0661.2	MEOX1	monomer		9606	no	9.3754	1
2024	Homo sapiens	ENSG00000005513	SOX8	MA0868.3	SOX8	monomer		9606	no	9.5848	1
2024	Homo sapiens	ENSG00000005889	ZFX	MA0146.3	Zfx	monomer		10090	yes	12.3986	1
2024	Homo sapiens	ENSG00000006194	ZNF263	MA0528.3	ZNF263	monomer		9606	no	11.0370	1
2024	Homo sapiens	ENSG00000006377	DLX6	MA0882.2	DLX6	monomer		9606	no	8.2427	1
2024	Homo sapiens	ENSG00000006468	ETV1	MA0761.3	ETV1	monomer		9606	no	11.6079	1
2024	Homo sapiens	ENSG00000006468	ETV1	MA1966.2	TFAP4::ETV1	complex	TFAP4	9606	no	14.4880	2
2024	Homo sapiens	ENSG00000007372	PAX6	MA0069.1	PAX6	monomer		9606	no	13.7977	1
2024	Homo sapiens	ENSG00000007866	TEAD3	MA0808.1	TEAD3	monomer		9606	no	11.5059	1
2024	Homo sapiens	ENSG00000007968	E2F2	MA0864.3	E2F2	monomer		9606	no	12.6984	1
2024	Homo sapiens	ENSG00000008196	TFAP2B	MA0813.1	TFAP2B	monomer		9606	no	14.3554	1
2024	Homo sapiens	ENSG00000008196	TFAP2B	MA0812.2	TFAP2B	monomer		9606	no	12.1714	2
2024	Homo sapiens	ENSG00000008196	TFAP2B	MA0811.2	TFAP2B	monomer		9606	no	10.5925	3
2024	Homo sapiens	ENSG00000008441	NFIX	MA1528.2	NFIX	monomer		9606	no	15.6470	1
2024	Homo sapiens	ENSG00000008441	NFIX	MA0671.2	NFIX	monomer		9606	no	7.7535	2
2024	Homo sapiens	ENSG00000009709	PAX7	MA0680.3	Pax7	monomer		10090	yes	12.9076	1
2024	Homo sapiens	ENSG00000009950	MLXIPL	MA0664.2	MLXIPL	monomer		9606	no	12.1115	1
2024	Homo sapiens	ENSG00000010030	ETV7	MA1708.2	ETV7	monomer		9606	no	10.9383	1
2024	Homo sapiens	ENSG00000011590	ZBTB32	MA1580.1	ZBTB32	monomer		9606	no	14.7054	1
2024	Homo sapiens	ENSG00000012504	NR1H4	MA1110.3	Nr1H4	monomer		10090	yes	10.6417	1
2024	Homo sapiens	ENSG00000012504	NR1H4	MA1146.2	NR1H4::RXRA	complex	RXRA	9606	no	12.5498	2
2024	Homo sapiens	ENSG00000016082	ISL1	MA1608.2	Isl1	monomer		10090	yes	9.9814	1
2024	Homo sapiens	ENSG00000018869	ZNF582	MA1983.2	ZNF582	monomer		9606	no	22.5026	1
2024	Homo sapiens	ENSG00000019549	SNAI2	MA0745.3	SNAI2	monomer		9606	no	12.6005	1
2024	Homo sapiens	ENSG00000020633	RUNX3	MA0684.3	RUNX3	monomer		9606	no	10.1697	1
2024	Homo sapiens	ENSG00000025156	HSF2	MA0770.1	HSF2	monomer		9606	no	17.2177	1
2024	Homo sapiens	ENSG00000025434	NR1H3	MA2337.1	Nr1h3	monomer		10090	yes	10.6170	1
2024	Homo sapiens	ENSG00000025434	NR1H3	MA0494.2	Nr1h3::Rxra	complex	RXRA	10090	yes	13.3131	2
2024	Homo sapiens	ENSG00000028277	POU2F2	MA0507.3	POU2F2	monomer		9606	no	17.9557	1
2024	Homo sapiens	ENSG00000030419	IKZF2	MA2326.1	IKZF2	monomer		9606	no	11.2322	1
2024	Homo sapiens	ENSG00000037965	HOXC8	MA1505.2	HOXC8	monomer		9606	no	7.7447	1
2024	Homo sapiens	ENSG00000043039	BARX2	MA1471.2	BARX2	monomer		9606	no	10.0241	1
2024	Homo sapiens	ENSG00000043355	ZIC2	MA1629.2	Zic2	monomer		10090	yes	12.7516	1
2024	Homo sapiens	ENSG00000043355	ZIC2	MA1628.2	Zic1::Zic2	complex	ZIC1	10090	yes	11.5256	2
2024	Homo sapiens	ENSG00000049768	FOXP3	MA0850.1	FOXP3	monomer		9606	no	8.5941	1
2024	Homo sapiens	ENSG00000052850	ALX4	MA0853.2	Alx4	monomer		10090	yes	13.1235	1
2024	Homo sapiens	ENSG00000053254	FOXN3	MA1489.1	FOXN3	monomer		9606	no	14.2218	1
2024	Homo sapiens	ENSG00000054598	FOXC1	MA0032.2	FOXC1	monomer		9606	no	11.8752	1
2024	Homo sapiens	ENSG00000057657	PRDM1	MA0508.4	PRDM1	monomer		9606	no	11.1574	1
2024	Homo sapiens	ENSG00000063515	GSC2	MA0891.2	GSC2	monomer		9606	no	7.4273	1
