release	species	gene_id_stem	symbol	motif_id	motif_name	role	partners	motif_tax_ids	is_cross_species	total_information_content	rank
2026	Mus musculus	ENSMUSG00000000078	Klf6	MA1517.2	KLF6	monomer		9606	yes	11.1585	1
2026	Mus musculus	ENSMUSG00000000093	Tbx2	MA0688.2	TBX2	monomer		9606	yes	9.9887	1
2026	Mus musculus	ENSMUSG00000000094	Tbx4	MA0806.1	TBX4	monomer		9606	yes	9.8910	1
2026	Mus musculus	ENSMUSG00000000134	Tfe3	MA0831.3	TFE3	monomer		9606	yes	15.3976	1
2026	Mus musculus	ENSMUSG00000000247	Lhx2	MA0700.3	LHX2	monomer		9606	yes	10.0633	1
2026	Mus musculus	ENSMUSG00000000282	Mnt	MA0825.2	MNT	monomer		9606	yes	10.7562	1
2026	Mus musculus	ENSMUSG00000000317	Bcl6b	MA0731.1	BCL6B	monomer		9606	yes	29.8094	1
2026	Mus musculus	ENSMUSG00000000435	Myf5	MA1641.2	MYF5	monomer		9606	yes	11.6883	1
2026	Mus musculus	ENSMUSG00000000440	Pparg	MA0066.2	PPARG	monomer		9606	yes	20.0720	1
2026	Mus musculus	ENSMUSG00000000440	Pparg	MA0065.3	Pparg::Rxra	complex	RXRA	10090	no	11.1903	2
2026	Mus musculus	ENSMUSG00000000567	Sox9	MA0077.2	SOX9	monomer		9606	yes	8.8981	1
2026	Mus musculus	ENSMUSG00000000690	Hoxb6	MA1500.2	HOXB6	monomer		9606	yes	7.9155	1
2026	Mus musculus	ENSMUSG00000000782	Tcf7	MA0769.3	TCF7	monomer		9606	yes	10.6168	1
2026	Mus musculus	ENSMUSG00000000861	Bcl11a	MA2504.1	BCL11A	monomer		9606	yes	11.8640	1
2026	Mus musculus	ENSMUSG00000000861	Bcl11a	MA2324.1	BCL11A	monomer		9606	yes	9.3220	2
2026	Mus musculus	ENSMUSG00000000938	Hoxa10	MA0899.2	HOXA10	monomer		9606	yes	9.0136	1
2026	Mus musculus	ENSMUSG00000000942	Hoxa4	MA1496.2	HOXA4	monomer		9606	yes	8.0543	1
2026	Mus musculus	ENSMUSG00000001280	Sp1	MA0079.5	SP1	monomer		9606	yes	14.3036	1
2026	Mus musculus	ENSMUSG00000001288	Rarg	MA0860.1	Rarg	monomer		10090	no	25.5202	1
2026	Mus musculus	ENSMUSG00000001288	Rarg	MA0859.2	Rarg	monomer		10090	no	24.5306	2
2026	Mus musculus	ENSMUSG00000001288	Rarg	MA1553.2	RARG	monomer		9606	yes	15.6724	3
2026	Mus musculus	ENSMUSG00000001419	Mef2d	MA0773.1	MEF2D	monomer		9606	yes	18.4990	1
2026	Mus musculus	ENSMUSG00000001444	Tbx21	MA0690.3	TBX21	monomer		9606	yes	13.3604	1
2026	Mus musculus	ENSMUSG00000001444	Tbx21	MA2629.1	GSC::TBX21	complex	GSC	9606	yes	20.5187	2
2026	Mus musculus	ENSMUSG00000001493	Meox1	MA0661.2	MEOX1	monomer		9606	yes	9.3754	1
2026	Mus musculus	ENSMUSG00000001496	Nkx2-1	MA1994.2	Nkx2-1	monomer		10090	no	10.7634	1
2026	Mus musculus	ENSMUSG00000001497	Pax9	MA0781.2	PAX9	monomer		9606	yes	22.1067	1
2026	Mus musculus	ENSMUSG00000001504	Irx2	MA2679.1	IRX2	monomer		9606	yes	10.8332	1
2026	Mus musculus	ENSMUSG00000001510	Dlx3	MA0880.2	Dlx3	monomer		10090	no	6.9719	1
2026	Mus musculus	ENSMUSG00000001517	Foxm1	MA2469.1	FOXM1	monomer		9606	yes	9.5583	1
2026	Mus musculus	ENSMUSG00000001566	Mnx1	MA0707.3	MNX1	monomer		9606	yes	9.0111	1
2026	Mus musculus	ENSMUSG00000001655	Hoxc13	MA0907.2	HOXC13	monomer		9606	yes	14.0084	1
2026	Mus musculus	ENSMUSG00000001656	Hoxc11	MA0651.3	HOXC11	monomer		9606	yes	16.2723	1
2026	Mus musculus	ENSMUSG00000001657	Hoxc8	MA1505.2	HOXC8	monomer		9606	yes	7.7447	1
2026	Mus musculus	ENSMUSG00000001815	Evx2	MA0888.2	EVX2	monomer		9606	yes	7.4780	1
2026	Mus musculus	ENSMUSG00000001819	Hoxd13	MA0909.4	Hoxd13	monomer		10090	no	12.0507	1
2026	Mus musculus	ENSMUSG00000001823	Hoxd12	MA0873.2	HOXD12	monomer		9606	yes	13.9432	1
2026	Mus musculus	ENSMUSG00000001823	Hoxd12	MA1958.2	HOXD12::ELK1	complex	ELK1	9606	yes	20.5728	2
2026	Mus musculus	ENSMUSG00000001911	Nfix	MA1528.2	NFIX	monomer		9606	yes	15.6470	1
2026	Mus musculus	ENSMUSG00000001911	Nfix	MA0671.2	NFIX	monomer		9606	yes	7.7535	2
2026	Mus musculus	ENSMUSG00000002057	Foxn1	MA1684.1	Foxn1	monomer		10090	no	9.5038	1
2026	Mus musculus	ENSMUSG00000002108	Nr1h3	MA2337.1	Nr1h3	monomer		10090	no	10.6170	1
2026	Mus musculus	ENSMUSG00000002108	Nr1h3	MA0494.2	Nr1h3::Rxra	complex	RXRA	10090	no	13.3131	2
2026	Mus musculus	ENSMUSG00000002111	Spi1	MA0080.7	Spi1	monomer		10090	no	14.4981	1
2026	Mus musculus	ENSMUSG00000002147	Stat6	MA0520.2	Stat6	monomer		10090	no	13.5827	1
2026	Mus musculus	ENSMUSG00000002249	Tead3	MA0808.1	TEAD3	monomer		9606	yes	11.5059	1
2026	Mus musculus	ENSMUSG00000002250	Ppard	MA1550.2	PPARD	monomer		9606	yes	20.0544	1
2026	Mus musculus	ENSMUSG00000002325	Irf9	MA0653.1	IRF9	monomer		9606	yes	24.8343	1
2026	Mus musculus	ENSMUSG00000002393	Nr2f6	MA0728.1	Nr2F6	monomer		10090	no	25.0425	1
2026	Mus musculus	ENSMUSG00000002393	Nr2f6	MA0677.2	Nr2f6	monomer		10090	no	18.0289	2
2026	Mus musculus	ENSMUSG00000002393	Nr2f6	MA1539.1	NR2F6	monomer		9606	yes	20.5514	3
2026	Mus musculus	ENSMUSG00000002983	Relb	MA1117.2	RELB	monomer		9606	yes	9.7718	1
2026	Mus musculus	ENSMUSG00000003032	Klf4	MA0039.5	KLF4	monomer		9606	yes	10.8003	1
2026	Mus musculus	ENSMUSG00000003051	Elf3	MA0640.3	ELF3	monomer		9606	yes	11.2989	1
2026	Mus musculus	ENSMUSG00000003154	Foxj2	MA0614.1	Foxj2	monomer		10090	no	11.7818	1
2026	Mus musculus	ENSMUSG00000003154	Foxj2	MA1952.2	FOXJ2::ELF1	complex	ELF1	9606	yes	11.9374	2
2026	Mus musculus	ENSMUSG00000003184	Irf3	MA1418.2	IRF3	monomer		9606	yes	23.1864	1
2026	Mus musculus	ENSMUSG00000003282	Plag1	MA0163.1	PLAG1	monomer		9606	yes	19.3519	1
2026	Mus musculus	ENSMUSG00000003382	Etv3	MA0763.2	ETV3	monomer		9606	yes	11.4588	1
2026	Mus musculus	ENSMUSG00000003545	Fosb	MA2486.1	Fosb	monomer		10090	no	10.9084	1
2026	Mus musculus	ENSMUSG00000003545	Fosb	MA1127.1	FOSB::JUN	complex	JUN	9606	yes	12.8374	2
